Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
39;Patrick Beverley;PG;35;PHI;21;1;18.3;1.7;4;0.424;0.6;2.1;0.273;1.1;2;0.585;0.494;0.6;0.8;0.706;0.9;2.2;3.1;2.5;0.5;0.3;0.8;1.9;4.6
40;Saddiq Bey;SF;24;ATL;21;9;30;4.7;9.6;0.493;1.9;4.8;0.4;2.8;4.8;0.584;0.592;1.6;2;0.81;2.2;3.8;6;1.2;1;0.1;1.2;1.6;13
41;Goga Bitadze;C;24;ORL;20;17;20.6;2.7;4.7;0.574;0.1;0.3;0.2;2.7;4.5;0.596;0.58;1.5;2.1;0.714;2.1;3.9;6;1.9;0.7;1.6;0.7;2.4;7
42;Onuralp Bitim;SG;24;CHI;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Bismack Biyombo;C;31;MEM;16;15;25.1;2.5;4.4;0.571;0;0;0;2.5;4.4;0.571;0.571;1.1;1.9;0.6;2.5;4.5;7;2.1;0.4;1.3;1.2;2.9;6.1
44;Anthony Black;PG;20;ORL;20;16;19.2;2;3.9;0.506;0.4;1.3;0.28;1.6;2.6;0.615;0.552;0.8;1.3;0.64;0.6;1.8;2.3;1.5;0.3;0.4;1;2.1;5.1
45;Leaky Black;SF;24;CHO;4;0;4.3;0.5;1.3;0.4;0.3;0.5;0.5;0.3;0.8;0.333;0.5;0;0;0;0;0.5;0.5;0.3;0.3;0.5;0;0.3;1.3
46;Bogdan Bogdanovi?;SG;31;ATL;21;2;27.2;5.9;13;0.452;3.1;8;0.385;2.8;4.9;0.563;0.572;1.3;1.4;0.933;0.4;3;3.4;2.2;1.4;0.3;1.3;2.5;16.1
47;Bojan Bogdanovi?;PF;34;DET;3;2;29.3;6.3;13.3;0.475;2.7;7;0.381;3.7;6.3;0.579;0.575;2.3;3;0.778;0.3;2.7;3;3.3;1.7;0;1.7;0.7;17.7
48;Bol Bol;PF;24;PHO;4;0;2;0.3;0.3;1;0;0;0;0.3;0.3;1;1;0;0;0;0;0.3;0.3;0;0;0.3;0.5;0;0.5
49;Marques Bolden;C;25;MIL;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0
50;Devin Booker;SG;27;PHO;13;13;34.6;8.9;18.6;0.479;2;4.7;0.426;6.9;13.9;0.497;0.533;7.5;8.2;0.916;1;5.3;6.3;8.1;0.8;0.5;3.2;3.2;27.4
